;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Agregado
0;Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;42.5;Apartamento
1;Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
2;Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200.0;4020.0;1111.0;34.67;Apartamento
3;Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;53.33;Apartamento
4;Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;16.67;Apartamento
5;Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;26.0;Apartamento
6;Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;29.33;Casa
7;Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.38;Casa
8;Conjunto Comercial/Sala;Centro;0;3;0;695;35000.0;19193.0;3030.0;50.36;Apartamento
9;Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;21.43;Apartamento
10;Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;16.67;Apartamento
11;Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;Apartamento
12;Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;66.67;Apartamento
13;Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
14;Prédio Inteiro;Botafogo;0;0;0;536;28000.0;0.0;3563.0;52.24;Apartamento
15;Flat;Botafogo;3;1;1;80;3800.0;1040.0;0.0;47.5;Apartamento
16;Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;17.39;Casa
17;Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;17.59;Apartamento
18;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
19;Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
20;Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;16.09;Casa
21;Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;14.71;Apartamento
22;Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
23;Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;80.36;Apartamento
24;Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;0.0;44.0;Apartamento
25;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
26;Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
27;Loja/Salão;Campo Grande;0;1;0;35;1300.0;950.0;0.0;37.14;Apartamento
28;Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;Apartamento
29;Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;Casa
30;Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
31;Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;26.46;Apartamento
32;Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;30.56;Apartamento
33;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700.0;0.0;0.0;31.82;Apartamento
34;Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;21.9;Apartamento
35;Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;35.45;Apartamento
36;Conjunto Comercial/Sala;Centro;0;5;0;1306;117540.0;19486.0;0.0;90.0;Apartamento
37;Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;48.15;Apartamento
38;Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;17.5;Apartamento
39;Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
40;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;1500.0;250.0;0.0;30.0;Apartamento
41;Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;20.49;Apartamento
42;Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;40.91;Apartamento
43;Conjunto Comercial/Sala;Centro;0;0;0;460;7500.0;4797.0;2019.0;16.3;Apartamento
44;Conjunto Comercial/Sala;Centro;0;0;0;1170;140456.0;23409.0;5852.0;120.05;Apartamento
45;Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;33.33;Apartamento
46;Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;26.0;Apartamento
47;Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
48;Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;22.22;Apartamento
49;Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;25.0;Apartamento
50;Conjunto Comercial/Sala;Centro;0;1;0;70;1900.0;1080.0;251.0;27.14;Apartamento
51;Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000.0;1160.0;200.0;80.0;Apartamento
52;Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;27.78;Apartamento
53;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
54;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
55;Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;19.28;Apartamento
56;Loja/Salão;Copacabana;0;0;0;34;2000.0;735.0;0.0;58.82;Apartamento
57;Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;15.62;Casa
58;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
59;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1500.0;1546.0;0.0;17.86;Apartamento
60;Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;67.42;Apartamento
61;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
62;Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;17.22;Apartamento
63;Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;26.42;Apartamento
64;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
65;Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;20.93;Apartamento
66;Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;25.0;Apartamento
67;Conjunto Comercial/Sala;Méier;0;0;0;32;700.0;380.0;56.0;21.88;Apartamento
68;Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;25.68;Apartamento
69;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
70;Conjunto Comercial/Sala;Centro;0;0;0;1;2850.0;2050.0;0.0;2850.0;Apartamento
71;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
72;Casa;Méier;2;0;0;51;1500.0;50.0;0.0;29.41;Casa
73;Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;42.11;Apartamento
74;Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;16.67;Apartamento
75;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;700.0;1010.0;56.0;21.21;Apartamento
76;Conjunto Comercial/Sala;Jardim Botânico;0;1;0;24;2500.0;682.0;112.0;104.17;Apartamento
77;Galpão/Depósito/Armazém;Vargem Grande;0;6;0;2236;40000.0;0.0;0.0;17.89;Apartamento
78;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;850.0;719.0;0.0;26.56;Apartamento
79;Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;38.36;Casa
80;Casa Comercial;Botafogo;0;0;0;140;7000.0;0.0;137.0;50.0;Apartamento
81;Galpão/Depósito/Armazém;Maria da Graça;0;3;0;1000;9800.0;0.0;820.0;9.8;Apartamento
82;Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;17.86;Casa
83;Conjunto Comercial/Sala;Centro;0;1;0;390;25397.0;12090.0;1318.0;65.12;Apartamento
84;Conjunto Comercial/Sala;Centro;0;0;0;320;12000.0;3740.0;1541.0;37.5;Apartamento
85;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
86;Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;52.92;Apartamento
87;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
88;Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;17.78;Apartamento
89;Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;40.0;Apartamento
90;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
91;Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;29.73;Apartamento
92;Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;42.31;Apartamento
93;Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;19.48;Apartamento
94;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
95;Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;18.59;Apartamento
96;Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;42.59;Apartamento
97;Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;26.67;Apartamento
98;Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;28.99;Apartamento
99;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
100;Loja/Salão;Barra da Tijuca;0;0;0;36;5300.0;2114.0;839.0;147.22;Apartamento
101;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
102;Conjunto Comercial/Sala;Centro;0;0;0;95;3800.0;1688.0;392.0;40.0;Apartamento
103;Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;16.67;Apartamento
104;Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;26.67;Apartamento
105;Conjunto Comercial/Sala;Centro;0;0;0;310;17050.0;5950.0;1917.0;55.0;Apartamento
106;Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;46.51;Apartamento
107;Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;35.71;Apartamento
108;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
109;Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;145;9000.0;6400.0;0.0;62.07;Apartamento
110;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
111;Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;142;4000.0;5024.0;12415.0;28.17;Apartamento
112;Conjunto Comercial/Sala;Botafogo;0;3;0;241;22000.0;9384.0;0.0;91.29;Apartamento
113;Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;18.57;Casa
114;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
115;Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;10.73;Apartamento
116;Galpão/Depósito/Armazém;Bonsucesso;0;10;0;13010;100000.0;0.0;12000.0;7.69;Apartamento
117;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
118;Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;20.75;Apartamento
119;Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;41.38;Apartamento
120;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
121;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
122;Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;0.0;55.6;Apartamento
123;Conjunto Comercial/Sala;Centro;0;0;0;40;1500.0;637.0;84.0;37.5;Apartamento
124;Conjunto Comercial/Sala;Centro;0;0;0;48;1400.0;729.0;157.0;29.17;Apartamento
125;Conjunto Comercial/Sala;Santo Cristo;0;64;0;4800;312000.0;92000.0;0.0;65.0;Apartamento
126;Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;800.0;592.0;162.0;26.67;Apartamento
127;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
128;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
129;Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;166.67;Apartamento
130;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
131;Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
132;Conjunto Comercial/Sala;Centro;0;0;0;55;900.0;1240.0;240.0;16.36;Apartamento
133;Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;24.55;Apartamento
134;Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;27.03;Casa
135;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
136;Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
137;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
138;Casa;Benfica;1;0;0;33;1200.0;0.0;0.0;36.36;Casa
139;Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;87.5;Apartamento
140;Conjunto Comercial/Sala;Centro;0;0;0;212;13000.0;4700.0;1350.0;61.32;Apartamento
141;Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;490.0;450.0;525.0;22.27;Apartamento
142;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;445.0;791.0;1041.0;22.25;Apartamento
143;Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
144;Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;27.03;Apartamento
145;Galpão/Depósito/Armazém;Quintino Bocaiúva;0;0;0;550;4300.0;0.0;0.0;7.82;Apartamento
146;Conjunto Comercial/Sala;Campo Grande;0;0;0;20;800.0;0.0;0.0;40.0;Apartamento
147;Conjunto Comercial/Sala;São Francisco Xavier;0;1;0;27;1500.0;580.0;0.0;55.56;Apartamento
